 98 12 08 07    -14.8    -12.8    -12.2    -11.4    -10.0 
 98 12 08 20     -3.2     -5.0     -6.1    -10.3     -9.4 
 98 12 09 08    -11.7    -12.2    -13.3    -16.4    -15.0 
 98 12 09 21     -9.9     -8.3    -11.1    -16.7    -12.2 
 98 12 09 19     -9.9     -8.3    -13.9    -16.7    -15.0 
 98 12 09 05    -10.3    -11.1    -12.2    -15.4    -13.9 
 98 12 09 17    -12.2    -11.1    -15.6    -17.8    -16.7 
 98 12 09 03     -9.1    -10.6    -10.6    -13.5    -12.2 
 98 12 09 11    -12.3    -12.8    -14.4    -17.8    -16.7 
 98 12 09 12    -13.1    -13.9    -15.6    -18.1    -16.7 
 98 12 09 10    -12.2    -12.8    -14.4    -17.1    -16.1 
 98 12 09 14    -12.3    -13.3    -15.0    -18.1    -16.7 
 98 12 09 15    -12.2    -13.3    -15.0    -18.7    -16.7 
 98 12 09 06    -10.6    -11.7    -12.8    -15.8    -14.4 
 98 12 09 07    -10.9    -11.7    -12.8    -16.1    -14.4 
 98 12 09 04     -9.9    -11.1    -11.7    -15.2    -13.9 
 98 12 09 23    -11.4     -7.2    -15.0    -17.1    -13.3 
 98 12 09 09    -11.7    -12.8    -13.9    -16.7    -15.6 
 98 12 09 16    -12.4    -12.8    -15.6    -18.3    -17.2 
 98 12 09 22    -10.6     -8.3    -13.3    -17.0    -11.7 
 98 12 09 02     -7.6     -8.3     -9.4    -12.4    -11.1 
 98 12 09 20     -9.3     -7.2    -13.3    -16.6    -13.3 
 98 12 09 18    -12.0    -10.0    -15.0    -17.6    -16.1 
 98 12 09 01     -8.4     -8.3     -8.9    -11.8    -10.6 
 98 12 10 13    -14.7    -11.7    -12.8    -11.9    -12.8 
 98 12 10 02    -11.2    -11.7    -14.4    -17.4    -16.1 
 98 12 10 00    -11.5    -11.7    -15.0    -17.4    -15.6 
 98 12 10 16    -12.4     -7.8    -10.6    -10.1     -9.4 
 98 12 10 11    -15.6    -13.3    -15.0    -15.4    -14.4 
 98 12 10 03    -11.5    -12.2    -14.4    -17.3    -16.1 
 98 12 10 17    -11.1     -1.1     -8.9     -8.1     -7.8 
 98 12 10 10    -16.3    -13.3    -15.0    -15.6    -15.0 
 98 12 10 04    -11.9    -12.8    -13.9    -17.1    -16.1 
 98 12 10 09    -14.9    -12.8    -13.9    -15.7    -14.4 
 98 12 10 07    -14.2    -12.8    -13.3    -15.5    -15.6 
 98 12 10 12    -14.7    -13.3    -13.9    -15.2    -14.4 
 98 12 10 05    -13.1    -13.3    -13.9    -16.7    -16.1 
 98 12 10 14    -13.9    -12.2    -12.2    -10.4    -10.6 
 98 12 10 15    -14.2    -11.7    -11.7    -10.2    -10.0 
 98 12 10 01    -11.6    -12.2    -14.4    -17.5    -16.1 
 98 12 10 08    -14.7    -13.3    -13.9    -15.4    -15.0 
 98 12 10 06    -13.9    -12.8    -13.3    -16.4    -15.6 
 99 01 15 20     -0.7     -1.7     -3.3     -6.7     -5.6 
 99 01 15 19     -1.4     -2.2     -3.9     -6.2     -5.6 
 99 01 15 23     -0.7     -1.7     -4.4     -7.9     -6.1 
 99 01 15 22      0.1     -1.7     -3.3     -7.7     -6.1 
 99 01 15 18     -2.1     -3.3     -3.9     -6.2     -5.6 
 99 01 15 21     -0.1     -1.7     -2.8     -7.4     -6.1 
 99 01 16 10     -8.2     -3.9     -5.0     -6.8     -6.1 
 99 01 16 05     -9.1     -6.7     -7.8     -9.1     -6.7 
 99 01 16 21     -1.4     -2.8     -3.9     -7.5     -6.7 
 99 01 16 00     -1.7     -2.8     -5.0     -8.4     -6.7 
 99 01 16 20     -1.9     -2.8     -3.9     -7.0     -6.1 
 99 01 16 15     -3.3     -3.9     -5.6     -8.3     -7.2 
 99 01 16 11     -6.8     -2.8     -2.8     -5.9     -5.0 
 99 01 16 16     -3.7     -4.4     -6.1     -8.3     -7.2 
